trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit,
1450289,ETH-BTC,SELL,2017-09-06T14:54:08.104Z,1,ETH,0.07263,0,0.07263,BTC,0.48070491
1450291,ETH-BTC,SELL,2017-09-06T14:54:22.573Z,0.8,ETH,0.07263,0,0.058104,BTC,0.53880891
1450299,ETH-BTC,SELL,2017-09-06T14:54:39.681Z,0.75,ETH,0.07269,0,0.0545175,BTC,0.59332641
1453781,ETH-BTC,SELL,2017-09-07T16:37:58.654Z,1.36,ETH,0.07252,0,0.0986272,BTC,0.69195361
1459176,ETH-BTC,BUY,2017-09-08T14:38:20.296Z,1.75727283,ETH,0.06977,0,-0.122604925,BTC,0.569348685
1459439,ETH-BTC,BUY,2017-09-08T14:54:38.929Z,8.11,ETH,0.07022,0,-0.5694842,BTC,-0.000135515
1459973,ETH-BTC,SELL,2017-09-08T15:55:08.754Z,9.87,ETH,0.07058,0,0.6966246,BTC,0.696489085
1460551,ETH-BTC,BUY,2017-09-08T17:00:20.111Z,0.2242,ETH,0.07073,0,-0.015857666,BTC,0.680631419
1460834,ETH-BTC,SELL,2017-09-08T18:04:31.557Z,0.22,ETH,0.07067,0,0.0155474,BTC,0.696178819
1462395,ETH-BTC,BUY,2017-09-08T20:44:47.216Z,9.92,ETH,0.07014,0,-0.6957888,BTC,0.000390019
1463343,ETH-BTC,SELL,2017-09-08T22:11:59.333Z,1.12575494,ETH,0.07128,0,0.080243812,BTC,0.080633831
1463344,ETH-BTC,SELL,2017-09-08T22:11:59.648Z,1.3962021,ETH,0.07128,0,0.099521286,BTC,0.180155117
1463886,ETH-BTC,SELL,2017-09-08T23:18:30.638Z,7.4,ETH,0.07136,0,0.528064,BTC,0.708219117
1479939,ETH-BTC,BUY,2017-09-12T07:07:27.230Z,0.15178946,ETH,0.07226,0,-0.010968306,BTC,0.69725081
1483518,ETH-BTC,BUY,2017-09-12T18:48:00.613Z,9.93999955,ETH,0.07015,0,-0.697290968,BTC,-4.01581E-05
1483857,ETH-BTC,SELL,2017-09-12T19:48:10.799Z,8.20372225,ETH,0.07055,0,0.578772605,BTC,0.578732447
1483858,ETH-BTC,SELL,2017-09-12T19:48:11.730Z,1.88627775,ETH,0.07055,0,0.133076895,BTC,0.711809342
1484977,ETH-BTC,BUY,2017-09-13T02:48:58.476Z,10,ETH,0.07035,0,-0.7035,BTC,0.008309342
1485426,ETH-BTC,BUY,2017-09-13T03:36:23.731Z,0.35187471,ETH,0.06979,0,-0.024557336,BTC,-0.016247994
1485427,ETH-BTC,BUY,2017-09-13T03:36:24.672Z,1.65166157,ETH,0.06979,0,-0.115269461,BTC,-0.131517455
1485650,ETH-BTC,BUY,2017-09-13T04:04:01.838Z,1.73090473,ETH,0.06953,0,-0.120349806,BTC,-0.251867261
1485651,ETH-BTC,BUY,2017-09-13T04:04:02.150Z,1.74173496,ETH,0.06953,0,-0.121102832,BTC,-0.372970093
1485652,ETH-BTC,BUY,2017-09-13T04:04:02.298Z,1.66256519,ETH,0.06953,0,-0.115598158,BTC,-0.48856825
1485653,ETH-BTC,BUY,2017-09-13T04:04:02.500Z,1.58339542,ETH,0.06953,0,-0.110093484,BTC,-0.598661734
1485654,ETH-BTC,BUY,2017-09-13T04:04:02.902Z,1.42505588,ETH,0.06953,0,-0.099084135,BTC,-0.697745869
1485669,ETH-BTC,BUY,2017-09-13T04:04:24.181Z,0.10750931,ETH,0.06952,0,-0.007474047,BTC,-0.705219917
1485688,ETH-BTC,BUY,2017-09-13T04:04:59.700Z,0.03,ETH,0.06951,0,-0.0020853,BTC,-0.707305217
1485699,ETH-BTC,BUY,2017-09-13T04:05:53.046Z,0.03,ETH,0.0695,0,-0.002085,BTC,-0.709390217
1485717,ETH-BTC,BUY,2017-09-13T04:05:54.895Z,0.03,ETH,0.06947,0,-0.0020841,BTC,-0.711474317
1485735,ETH-BTC,BUY,2017-09-13T04:08:15.549Z,0.03,ETH,0.0694,0,-0.002082,BTC,-0.713556317
1493455,ETH-BTC,BUY,2017-09-14T08:11:18.900Z,0.03,ETH,0.07032,0,-0.0021096,BTC,-0.715665917
1494901,ETH-BTC,SELL,2017-09-14T11:47:04.980Z,1.006,ETH,0.06957,0,0.06998742,BTC,-0.645678497
1494911,ETH-BTC,SELL,2017-09-14T11:47:22.338Z,18.301064,ETH,0.06963,0,1.274303086,BTC,0.62862459
1494915,ETH-BTC,SELL,2017-09-14T11:47:30.845Z,1.09999952,ETH,0.06963,0,0.076592967,BTC,0.705217556
1496451,ETH-BTC,BUY,2017-09-14T13:16:33.308Z,10.95056049,ETH,0.0681,0,-0.745733169,BTC,-0.040515613
1496782,ETH-BTC,SELL,2017-09-14T13:51:00.853Z,7.114673,ETH,0.06919,0,0.492264225,BTC,0.451748612
1497474,ETH-BTC,BUY,2017-09-14T16:44:33.418Z,0.11055941,ETH,0.06853,0,-0.007576636,BTC,0.444171975
1497475,ETH-BTC,BUY,2017-09-14T16:44:33.457Z,0.80182408,ETH,0.06853,0,-0.054949004,BTC,0.389222971
1497476,ETH-BTC,BUY,2017-09-14T16:44:33.633Z,1.020999,ETH,0.06853,0,-0.069969061,BTC,0.31925391
1497477,ETH-BTC,BUY,2017-09-14T16:44:34.195Z,0.51956083,ETH,0.06853,0,-0.035605504,BTC,0.283648406
1497478,ETH-BTC,BUY,2017-09-14T16:44:34.230Z,0.292,ETH,0.06853,0,-0.02001076,BTC,0.263637646
1497968,ETH-BTC,SELL,2017-09-14T17:27:09.152Z,2.93558531,ETH,0.06839,0,0.200764679,BTC,0.464402325
1497974,ETH-BTC,SELL,2017-09-14T17:28:24.381Z,0.63303435,ETH,0.06838,0,0.043286889,BTC,0.507689214
1498706,ETH-BTC,SELL,2017-09-14T18:56:25.730Z,3.01,ETH,0.06982,0,0.2101582,BTC,0.717847414
1498761,ETH-BTC,BUY,2017-09-14T18:58:34.724Z,20.41,ETH,0.06927,0,-1.4138007,BTC,-0.695953286
1501484,ETH-BTC,SELL,2017-09-15T05:31:31.396Z,20.41,ETH,0.0698,0,1.424618,BTC,0.728664714
1501708,ETH-BTC,BUY,2017-09-15T06:26:19.563Z,0.7821228,ETH,0.07023,0,-0.054928484,BTC,0.67373623
1501769,ETH-BTC,BUY,2017-09-15T06:31:52.683Z,1.44826004,ETH,0.06998,0,-0.101349238,BTC,0.572386992
1501771,ETH-BTC,BUY,2017-09-15T06:32:31.852Z,0.00244529,ETH,0.07,0,-0.00017117,BTC,0.572215822
1501777,ETH-BTC,BUY,2017-09-15T06:32:49.256Z,2.955066,ETH,0.07,0,-0.20685462,BTC,0.365361202
1501778,ETH-BTC,BUY,2017-09-15T06:32:49.660Z,13.378232,ETH,0.07,0,-0.93647624,BTC,-0.571115038
1501779,ETH-BTC,BUY,2017-09-15T06:32:49.668Z,0.644019,ETH,0.07,0,-0.04508133,BTC,-0.616196368
1501825,ETH-BTC,BUY,2017-09-15T06:45:36.732Z,0.2,ETH,0.06995,0,-0.01399,BTC,-0.630186368
1502022,ETH-BTC,BUY,2017-09-15T07:09:28.043Z,0.32666855,ETH,0.0702,0,-0.022932132,BTC,-0.6531185
1502115,ETH-BTC,BUY,2017-09-15T07:14:41.128Z,0.67,ETH,0.07034,0,-0.0471278,BTC,-0.7002463
1502116,ETH-BTC,BUY,2017-09-15T07:14:41.128Z,0.67,ETH,0.07034,0,-0.0471278,BTC,-0.7473741
1509525,ETH-BTC,SELL,2017-09-15T16:16:42.980Z,21.08,ETH,0.06892,0,1.4528336,BTC,0.7054595
1509827,ETH-BTC,BUY,2017-09-15T16:37:40.788Z,0.48591427,ETH,0.06878,0,-0.033421183,BTC,0.672038316
1510111,ETH-BTC,SELL,2017-09-15T16:54:07.757Z,0.49,ETH,0.06907,0,0.0338443,BTC,0.705882616
1511717,ETH-BTC,BUY,2017-09-15T19:15:33.207Z,21.75,ETH,0.06866,0,-1.493355,BTC,-0.787472384
1511935,ETH-BTC,SELL,2017-09-15T19:40:11.788Z,4.06713936,ETH,0.06957,0,0.282950885,BTC,-0.504521498
1512640,ETH-BTC,SELL,2017-09-15T21:49:13.725Z,17.44,ETH,0.06964,0,1.2145216,BTC,0.710000102
1513009,ETH-BTC,BUY,2017-09-15T23:26:49.701Z,2.575498,ETH,0.06972,0,-0.179563721,BTC,0.530436381
1513010,ETH-BTC,BUY,2017-09-15T23:26:50.108Z,0.212475,ETH,0.06972,0,-0.014813757,BTC,0.515622624
1513111,ETH-BTC,SELL,2017-09-16T00:35:37.145Z,0.06885457,ETH,0.06991,0,0.004813623,BTC,0.520436247
1513252,ETH-BTC,SELL,2017-09-16T01:38:37.723Z,2.73,ETH,0.06968,0,0.1902264,BTC,0.710662647
